eventId,eventUid,eventName,eventCategory,eventLocation,clubId,clubLogin,clubName,eventAttendees,eventPriceRange,eventButtonLabel,eventBadges,totalTicketsSoldValue,checkbox_id,displayType,registered,waiting_list,eventTags,coHostId,custom_time_instruction,checkin,registrationStatus,printTicket,eventTimezone,ariaEventDetails,ariaEventDetailsWithLocation,parentEventIds,all_results_hidden,hybrid,dayofweek,month,day,year,time,eventDates,hour
300368135,9ea4c891331876f5b104a9d3b7a5b8b5,India Journey Preview: Info Session,Online,Online Event Google Meet link,200000054.0,ieindiacmc,IE India Club MIX,0.0,FREE,Register,"OnlineCultureDiversityDiversity, Inclusion and Belonging",0.00,300368135.0,event,Unknown,,"OnlineCultureDiversityDiversity, Inclusion and Belonging",0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"India Journey Preview: Info Session. Friday, 23 February 2024 At 3:00 PM, (GMT+1).","India Journey Preview: Info Session. Friday, 23 February 2024 At 3:00 PM, (GMT+1). Online Event.",Unknown,,Unknown,Fri,Feb,23.0,2024.0,3 PM – 4 PM,Unknown,15.0
300368134,f5d6fba84090833177b4c22182ccad25,Humanistic Sustainability with Francesco Cingolani (Carasso Foundation),On Campus,Private Location (register to display),300002145.0,humanities,IE School of Humanities,0.0,FREE,Register,On CampusArts & humanities,0.00,300368134.0,event,Unknown,,On CampusArts & humanities,0,Unknown,0.4375,5 Spots Left,Unknown,(GMT+1),"Humanistic Sustainability with Francesco Cingolani ( Carasso Foundation ) . Friday, 23 February 2024 At 11:00 AM, (GMT+1).","Humanistic Sustainability with Francesco Cingolani ( Carasso Foundation ) . Friday, 23 February 2024 At 11:00 AM, (GMT+1). Private Location ( register to display ) .",Unknown,,Unknown,Fri,Feb,23.0,2024.0,11 AM – 1 PM,Unknown,11.0
300367356,48ec05944b710401a6d3fcaf9ce1b452,SOCIAL VOLLEYBALL PRACTICE - OPEN TO ALL,On Campus,"IE TOWER, IE Tower Gymnasium",200000126.0,ievolleyball,IE Volleyball Club,6.0,FREE,Register,"On CampusAthletic CenterCommunicationDiversity, Inclusion and BelongingIE TowerSportsT-TeamworkWellness / wellbeing",0.00,300367356.0,event,Unknown,,"On CampusAthletic CenterCommunicationDiversity, Inclusion and BelongingIE TowerSportsT-TeamworkWellness / wellbeing",0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"SOCIAL VOLLEYBALL PRACTICE - OPEN TO ALL. Thursday, 22 February 2024 At 10:00 PM, (GMT+1).","SOCIAL VOLLEYBALL PRACTICE - OPEN TO ALL. Thursday, 22 February 2024 At 10:00 PM, (GMT+1). IE TOWER, IE Tower Gymnasium.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,10 PM – 11 PM,Unknown,22.0
300334246,26f92b8c35376ef6912ae89360483f77,Segovia Swimming Practice,Off Campus,La Lastrilla,300002888.0,iesportswellbeing,Sports & Well-Being,6.0,FREE,Register,Off CampusSegovia CampusSportsSports Area (Segovia),0.00,300334246.0,event,Unknown,,Off CampusSegovia CampusSportsSports Area (Segovia),0,Unknown,0.4375,Waiting List,Unknown,(GMT+1),"Segovia Swimming Practice. Thursday, 22 February 2024 At 8:00 PM, (GMT+1).","Segovia Swimming Practice. Thursday, 22 February 2024 At 8:00 PM, (GMT+1). La Lastrilla.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,8 PM – 9 PM,Unknown,20.0
300368021,a2241d0a99d58a23108e2c618529c7e3,"Romanian, Bulgarian and Balkan Party",Off Campus,Macera Taller Bar,300021630.0,ieromania,IE Romanian Club MIX,93.0,FREE,Register,Off CampusCommunity / networking,0.00,300368021.0,event,Unknown,,Off CampusCommunity / networking,"IE Balkans Club, IE Bulgaria Club",Unknown,0.4375,Waiting List,Unknown,(GMT+1),"Romanian, Bulgarian and Balkan Party. Thursday, 22 February 2024 At 8:00 PM, (GMT+1).","Romanian, Bulgarian and Balkan Party. Thursday, 22 February 2024 At 8:00 PM, (GMT+1). Macera Taller Bar.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,8 PM – 11 PM,Unknown,20.0
300332328,e684befc1e92b78772c476d8d698f64a,Segovia Men & Women's Badminton Practice Thursdays,Off Campus,La Lastrilla,300002888.0,iesportswellbeing,Sports & Well-Being,1.0,FREE,Register,Off CampusSegovia CampusSportsSports Area (Segovia),0.00,300332328.0,event,Unknown,,Off CampusSegovia CampusSportsSports Area (Segovia),0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Segovia Men and Women’s Badminton Practice Thursdays. Thursday, 22 February 2024 At 7:00 PM, (GMT+1).","Segovia Men and Women’s Badminton Practice Thursdays. Thursday, 22 February 2024 At 7:00 PM, (GMT+1). La Lastrilla.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,7 PM – 9 PM,Unknown,19.0
300366362,844aedd6e20e90a2821eac4a542cd6d2,HIP HOP DANCE CLUB 2,Off Campus,Creativity Center/ Casa de la Moneda,300001855.0,iedanceSG,IE Dance Club SC,1.0,FREE,Register,Off CampusAlumni eventsCreativity Center,0.00,300366362.0,event,Unknown,,Off CampusAlumni eventsCreativity Center,IE Creativity Center,Unknown,0.4375,Unknown,Unknown,(GMT+1),"HIP HOP DANCE CLUB 2. Thursday, 22 February 2024 At 7:00 PM, (GMT+1).","HIP HOP DANCE CLUB 2. Thursday, 22 February 2024 At 7:00 PM, (GMT+1). Creativity Center slash Casa de la Moneda.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,7 PM – 8:30 PM,Unknown,19.0
300367792,0e736d253fd63a0247c1ffead4d663c7,P&G Connect: Data Science,Online,Online Event,200000154.0,iebigdata,IE Big Data & AI Club,68.0,FREE,Register,OnlineAlumni eventsBusiness DevelopmentInnovation & ICTT-Technological & Data LiteracyZoom,0.00,300367792.0,event,Unknown,,OnlineAlumni eventsBusiness DevelopmentInnovation & ICTT-Technological & Data LiteracyZoom,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"P and G Connect: Data Science. Thursday, 22 February 2024 At 7:00 PM, (GMT+1).","P and G Connect: Data Science. Thursday, 22 February 2024 At 7:00 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,7 PM – 8 PM,Unknown,19.0
300366884,e3a9d2eff7ca39c55d5461c4fad938d7,VENTURE NETWORK - Climate Tech Special Event with MIT Club of Spain,Hybrid,"IE TOWER, CLUB I",300002413.0,ieeic,IE Entrepreneurship & Innovation Center,106.0,FREE,Register,HybridAlumni eventsEntrepreneurshipZoom,0.00,300366884.0,event,Unknown,,HybridAlumni eventsEntrepreneurshipZoom,"IE Eco Club, IE Entrepreneurship Club, IE Private Equity & Venture Capital Club MIX, IE Robotics...",Unknown,0.4375,Unknown,Unknown,(GMT+1),"VENTURE NETWORK - Climate Tech Special Event with MIT Club of Spain. Thursday, 22 February 2024 At 7:00 PM, (GMT+1).","VENTURE NETWORK - Climate Tech Special Event with MIT Club of Spain. Thursday, 22 February 2024 At 7:00 PM, (GMT+1). IE TOWER, CLUB I.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,7 PM – 10 PM,Unknown,19.0
300368085,f80e10ecf7ce29605ceab6610684fae5,Introduction to Crowdfunding with Urbanitae,Online,Online Event Zoom link,300003082.0,ierealestateclubSC,IE Real Estate Club SC,39.0,FREE,Register,OnlineBusiness DevelopmentFinance / Investing / Insurance ...Real estate / Construction,0.00,300368085.0,event,Unknown,,OnlineBusiness DevelopmentFinance / Investing / Insurance ...Real estate / Construction,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Introduction to Crowdfunding with Urbanitae. Thursday, 22 February 2024 At 6:30 PM, (GMT+1).","Introduction to Crowdfunding with Urbanitae. Thursday, 22 February 2024 At 6:30 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,6:30 PM – 7:30 PM,Unknown,18.5
300367971,e2976826df13bdac7941b120a4e06b78,Paths Of Understanding History: Official Opening,On Campus,"Segovia's Creativity Center, IE Creativity Center",300001758.0,IECC,IE Creativity Center,18.0,FREE,Register,On CampusArts & humanities,0.00,300367971.0,event,Unknown,,On CampusArts & humanities,IE School of Humanities,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Paths Of Understanding History: Official Opening. Thursday, 22 February 2024 At 6:00 PM, (GMT+1).","Paths Of Understanding History: Official Opening. Thursday, 22 February 2024 At 6:00 PM, (GMT+1). Segovia’s Creativity Center, IE Creativity Center.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,6 PM – 9 PM,Unknown,18.0
300367087,43ca0b36a13adcd633db127be2888b13,"Join us for a conversation on ""The Future of Construction"" with Michael Marks",On Campus,Online Event,300002097.0,iescitechschool,Sci-Tech School,77.0,FREE,Register,On CampusAlumni eventsEntrepreneurship,0.00,300367087.0,event,Unknown,,On CampusAlumni eventsEntrepreneurship,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Join us for a conversation on “The Future of Construction“ with Michael Marks. Thursday, 22 February 2024 At 5:45 PM, (GMT+1).","Join us for a conversation on “The Future of Construction“ with Michael Marks. Thursday, 22 February 2024 At 5:45 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5:45 PM – 7:30 PM,Unknown,17.75
300367576,3974e5dbabd9a8f4dc0af14bec27bcbc,Breaking Boundaries in Data Science with Shapelets Technologies,On Campus,"IE TOWER, T-16.01",300001972.0,ieCoding,IE Coding Club,33.0,FREE,Register,On CampusIE TowerTech & Data,0.00,300367576.0,event,Unknown,,On CampusIE TowerTech & Data,"IE Big Data & AI Club, IE Google Developer Students Club",Unknown,0.4375,Unknown,Unknown,(GMT+1),"Breaking Boundaries in Data Science with Shapelets Technologies. Thursday, 22 February 2024 At 5:30 PM, (GMT+1).","Breaking Boundaries in Data Science with Shapelets Technologies. Thursday, 22 February 2024 At 5:30 PM, (GMT+1). IE TOWER, T-16.01.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5:30 PM – 6:30 PM,Unknown,17.5
300367753,c9485929267d66143bbcc9af38ebda8d,🇫🇷 MEET & GREET - French Aperitif 🇫🇷,Off Campus,-,200000057.0,iefrancec,IE French Club MIX,29.0,€5,Register,Off Campus,145.00,300367753.0,event,Unknown,,Off Campus,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"🇫🇷 MEET and GREET - French Aperitif 🇫🇷. Thursday, 22 February 2024 At 5:30 PM, (GMT+1).","🇫🇷 MEET and GREET - French Aperitif 🇫🇷. Thursday, 22 February 2024 At 5:30 PM, (GMT+1). -",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5:30 PM – 9 PM,Unknown,17.5
300341631,da1773353af2ed27d32117d248a11356,Careers Info Session UK & Ireland,Online,Online Event,200000640.0,TalentCareers,Talent and Careers,59.0,FREE,Register,OnlineAlumni events,0.00,300341631.0,event,Unknown,,OnlineAlumni events,"IE Alumni UK & Ireland Club, Talent and Careers",17:30 Madrid Time,0.4375,Unknown,Unknown,(GMT+1),"Careers Info Session UK and Ireland. Thursday, 22 February 2024 At 5:30 PM, (GMT+1).","Careers Info Session UK and Ireland. Thursday, 22 February 2024 At 5:30 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5:30 PM – 6:30 PM,Unknown,17.5
300367609,704d90280f7b19606ca5643989af645b,By Invitation Only: Tower Student Leaders Cocktail Mixer,On Campus,"IE TOWER, -4 Piano Lounge",200000131.0,iecampuslife,IE Campus Life,86.0,FREE,Event Details,On CampusIE Tower,0.00,300367609.0,event,registered,,On CampusIE Tower,0,Unknown,1.0,Unknown,student_receipt?save_as_pdf=1&js=1&rsvp_id=307182703&uid=837370b9-d19f-11ee-a691-02b922c01bc9&ts=225144925&auth=6ae3deb056259360ee6431f427bc988b8c48a4bb671a6547ca61b056dda58b99,(GMT+1),"By Invitation Only: Tower Student Leaders Cocktail Mixer. Thursday, 22 February 2024 At 5:30 PM, (GMT+1).","By Invitation Only: Tower Student Leaders Cocktail Mixer. Thursday, 22 February 2024 At 5:30 PM, (GMT+1). IE TOWER, -4 Piano Lounge.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5:30 PM – 7 PM,Unknown,17.5
300368023,1dcaf982beb4b3ad724d5203c0ec8e30,Crack the Case! - Segovia,On Campus,"CAMPUS SEGOVIA, Room: SG-122",200000068.0,ieconsulting,IE Consulting Club,8.0,FREE,Register,On CampusAlumni eventsConsulting - Crack the Case,0.00,300368023.0,event,Unknown,,On CampusAlumni eventsConsulting - Crack the Case,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Crack the Case! - Segovia. Thursday, 22 February 2024 At 5:00 PM, (GMT+1).","Crack the Case! - Segovia. Thursday, 22 February 2024 At 5:00 PM, (GMT+1). CAMPUS SEGOVIA, Room: SG-122.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5 PM – 6 PM,Unknown,17.0
300367451,ff2a9f663b308875a5a205d1a72352b1,Oportunidades y desafíos para los jóvenes en el mercado laboral español - Presentación del informe: Estudio Económico de España 2023,Online,Online Event,300002675.0,GPAUndergradstudents,"IE School of Politics, Economics and Global Affairs",13.0,FREE,Register,OnlineAlumni events,0.00,300367451.0,event,Unknown,,OnlineAlumni events,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Oportunidades y desafíos para los jóvenes en el mercado laboral español - Presentación del informe: Estudio Económico de España 2023. Thursday, 22 February 2024 At 5:00 PM, (GMT+1).","Oportunidades y desafíos para los jóvenes en el mercado laboral español - Presentación del informe: Estudio Económico de España 2023. Thursday, 22 February 2024 At 5:00 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5 PM – 6:30 PM,Unknown,17.0
300367467,e695144f39b0db06731cab27fd253c78,Visit to China Cultural Center,Off Campus,China Cultural Center,300002675.0,GPAUndergradstudents,"IE School of Politics, Economics and Global Affairs",23.0,FREE,Register,Off CampusArts & humanitiesCommunicationCommunity / networkingCreativityCultureGlobal affairs / international r...,0.00,300367467.0,event,Unknown,,Off CampusArts & humanitiesCommunicationCommunity / networkingCreativityCultureGlobal affairs / international r...,"IE China Club, IE Asia Club MIX",Unknown,0.4375,2 Spots Left,Unknown,(GMT+1),"Visit to China Cultural Center. Thursday, 22 February 2024 At 5:00 PM, (GMT+1).","Visit to China Cultural Center. Thursday, 22 February 2024 At 5:00 PM, (GMT+1). China Cultural Center.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5 PM – 6 PM,Unknown,17.0
300367480,c9147bb241ee89ee9fc2e97e96853cb7,Natural Capital and Sustainable Development in Emerging Countries,On Campus,"MARIA DE MOLINA, 31 BIS, MMB-403",300002675.0,GPAUndergradstudents,"IE School of Politics, Economics and Global Affairs",44.0,FREE,Register,On CampusAlumni events,0.00,300367480.0,event,Unknown,,On CampusAlumni events,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Natural Capital and Sustainable Development in Emerging Countries. Thursday, 22 February 2024 At 5:00 PM, (GMT+1).","Natural Capital and Sustainable Development in Emerging Countries. Thursday, 22 February 2024 At 5:00 PM, (GMT+1). MARIA DE MOLINA, 31 BIS, MMB-403.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5 PM – 6:30 PM,Unknown,17.0
300367505,cd35972d3e625abbbbd2e32a924bbe53,SABI: LIVE TRAINING SESSION WITH AN EXPERT,Online,Online Event Zoom link,300000282.0,IELibrary,IEU Library,8.0,FREE,Register,Online,0.00,300367505.0,event,Unknown,,Online,IE Faculty Community,Unknown,0.4375,Unknown,Unknown,(GMT+1),"SABI: LIVE TRAINING SESSION WITH AN EXPERT. Thursday, 22 February 2024 At 5:00 PM, (GMT+1).","SABI: LIVE TRAINING SESSION WITH AN EXPERT. Thursday, 22 February 2024 At 5:00 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5 PM – 6 PM,Unknown,17.0
300368072,b8d62c1deba46cf9cf96456f58c7beb2,International Organizations Talks: Insights from IGOs,Online,Online Event,200000640.0,TalentCareers,Talent and Careers,15.0,FREE,Register,OnlineEmployer Relations - T&CGlobal affairs / international r...,0.00,300368072.0,event,Unknown,,OnlineEmployer Relations - T&CGlobal affairs / international r...,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"International Organizations Talks: Insights from IGOs. Thursday, 22 February 2024 At 5:00 PM, (GMT+1).","International Organizations Talks: Insights from IGOs. Thursday, 22 February 2024 At 5:00 PM, (GMT+1). Online Event.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,5 PM – 6 PM,Unknown,17.0
300367019,89bb14d260194182794c2673adf3fa66,Visit to BlackRock's Madrid Office,Off Campus,Private Location (register to display),200000066.0,iecapitalmarkets,IE Finance and Capital Markets Club,0.0,Unknown,View,Off CampusFinance / Investing / Insurance ...Institutional,0.00,300367019.0,event,Unknown,,Off CampusFinance / Investing / Insurance ...Institutional,0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Visit to BlackRock’s Madrid Office. Thursday, 22 February 2024 At 4:15 PM, (GMT+1).","Visit to BlackRock’s Madrid Office. Thursday, 22 February 2024 At 4:15 PM, (GMT+1). Private Location ( register to display ) .",Unknown,,Unknown,Thu,Feb,22.0,2024.0,4:15 PM – 6:15 PM,Unknown,16.25
300368063,12c77f4bb7e2c6c21ceacef97e92c80f,Art in the Park: Let's crochet a natural environment!,On Campus,"Segovia's Creativity Center, Creativity Center",300002975.0,iesdgsSG,IE SDGs Club SC,7.0,FREE,Register,On Campus,0.00,300368063.0,event,Unknown,,On Campus,IE Creativity Center,Unknown,0.4375,8 Spots Left,Unknown,(GMT+1),"Art in the Park: Let’s crochet a natural environment! Thursday, 22 February 2024 At 4:00 PM, (GMT+1).","Art in the Park: Let’s crochet a natural environment! Thursday, 22 February 2024 At 4:00 PM, (GMT+1). Segovia’s Creativity Center, Creativity Center.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,4 PM – 5:30 PM,Unknown,16.0
300367303,1bde4d0ae9ac5a98af2d101004ca1720,Yoga Thursdays at the Creativity Center,Off Campus,Creativity Center,300002888.0,iesportswellbeing,Sports & Well-Being,9.0,FREE,Register,Off CampusCreativity CenterSegovia CampusSportsSports Area (Segovia),0.00,300367303.0,event,Unknown,,Off CampusCreativity CenterSegovia CampusSportsSports Area (Segovia),0,Unknown,0.4375,15 Spots Left,Unknown,(GMT+1),"Yoga Thursdays at the Creativity Center. Thursday, 22 February 2024 At 4:00 PM, (GMT+1).","Yoga Thursdays at the Creativity Center. Thursday, 22 February 2024 At 4:00 PM, (GMT+1). Creativity Center.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,4 PM – 6 PM,Unknown,16.0
300366528,569cf6b3091878591f7b194170f66b98,Boxing Classes Segovia,Off Campus,Bekdoosan Gym,300002888.0,iesportswellbeing,Sports & Well-Being,5.0,FREE,Register,Off CampusSegovia CampusSportsSports Area (Segovia),0.00,300366528.0,event,Unknown,,Off CampusSegovia CampusSportsSports Area (Segovia),0,Unknown,0.4375,Unknown,Unknown,(GMT+1),"Boxing Classes Segovia. Thursday, 22 February 2024 At 3:30 PM, (GMT+1).","Boxing Classes Segovia. Thursday, 22 February 2024 At 3:30 PM, (GMT+1). Bekdoosan Gym.",Unknown,,Unknown,Thu,Feb,22.0,2024.0,3:30 PM – 4:30 PM,Unknown,15.5
